Oven1_NMHC,Oven1_NOx,LV1211 S01 PK113_BB40,LV1211 S01 PK110_BN20-2,LV1211 S01 PK110_BN20-1,LV1211 S01 PR114_BV25,LV1211 S02 PR210_BN20,LV1211 S01 PN613_BV25,LV1211 S02 PR310_BN20,LV1211 S02 PR313_BB40-1,LV1211 S01 PN111_BV25,LV1211 S01 PN111_BL50,LV1211 S01 PN212_BV25,LV1211 S01 PN213_BV25,LV1211 S04 VZ503_M1_F,LV1211 S04 VZ503_M1_C,LV1211 S04 VA515_M1_F,LV1211 S04 VA515_M1_C,LV1211 S04 VZ502_M1_F,LV1211 S04 VZ502_M1_C,LV1211 S03 MW300_BV25-1,LA1251 summary AmereMin charge,LV1281 S04 WR706 BV25-1,LV1281 S04 WR706 M1,LV1281 S04 WA506 BB40-1,LV1281 S04 WA506 BU88,LV1281 S04 WA506 BB40-2,LV1281 S04 WA506 BB40-4,LV1281 S04 WA506 BB40-5,LV1281 S03 VA306 M1,LV1281 S09 WU321 M1,LV1281 S09 WU321 BB40,LV1281 S09 WU321 M2,LV1281 S08 WU312 M1,LV1281 S08 WU312 BB40,LV1281 S08 WU312 M2,LV1281 S07 WU311 M1,LV1281 S07 WU311 BB40,LV1281 S07 WU311 M2,LV1281 S06 WU302 M1,LV1281 S06 WU302 BB40,LV1281  S06 WU302 M2,LV1281 S05 WU301 M1,LV1281 S05 WU301 BB40,LV1281 S05 WU301 M2,LV1281 S05 WU301 BB40-1,LV1281 S01 TS100 M1_O,LV1281 S01 TS100 M1_C,LV1281 S02 TK161 M3_O,LV1281 S02 TK161 M3_C,LV1281 VZ366 M1,LV1281 TK161 M1,LV1281 TK161 M2,LV1281 VA307 M1,LV1281 VF330 M1,LV1281 AS361 M1,LV1281 VA307 M3,LV1281 VZ366 BB40,LV1281 VA307 BB42,LV1281 WK363 BB40-1,LV1281 WK363 BB40-2,LV1281 WK363 BV25,LV1281 WK363 M2,LV1281 S01 Energy consumption,LV1281 S02 Energy consumption,LV1281 S03 Energy consumption,LV1281 Emergency Cooling Request,LV1281 Emergency Cooling Finished,LV1281 Production ON,LV1281 Production Release,LF1921 S01 TF270 Actual curent MoviFit,LF1921 S01 TF270 Number of unit,LF1921 S01 TF270 Transport forward,LF1921 S01 TF270 Forward,LF1921 S01 TF270 Home position,LF1921 RB260 Occupied,LF1921 RB260 Transport Forward,LF1921 RB260 Forward,LF1921 RB280 Occupied,LF1921 RB280 Transport Forward,LF1921 RB280 Forward,LF1921 RB290 Occupied,LF1921 RB290 Transport Forward,LF1921 RB290 Forward,LF1921 RB300 Occupied,LF1921 RB300 Transport Forward,LF1921 RB300 Forward,LF1921 RB310 Occupied,LF1921 RB310 Transport Forward,LF1921 RB310 Forward
0,54.216,28.194,98.524,96.748,0.029,98.148,0.013,96.47,41.898,61.104,720.486,161.422,161.241,0,0.003,0,0.015,0,0.015,0.434,28.135,156122,31.889,712,94.4,166.97,632.986,378.993,88.176,50.278,200,36.171,53.388,199.87,14.026,96.547,199.913,98.512,22.836,130.035,74.802,74.359,94.878,6.488,254.514,1,0,1,0,49.486,32.369,37.313,26.822,6.7,9.94,100,22.28,30.165,10.3,21.9,0.022,0,619547,202148,705,0,0,1,1,1.956,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,54.572,28.194,98.559,96.698,0.029,98.148,0.009,96.47,41.898,61.031,719.039,161.603,161.241,0,0.003,0,0.017,0,0.015,0.174,28.135,156124,31.778,709,94.4,166.97,632.986,378.993,87.654,50.451,200.043,36.183,53.755,199.913,14.038,95.822,200.13,98.646,22.865,129.948,74.814,74.443,94.835,6.756,254.167,1,0,1,0,49.22,31.921,36.917,26.878,6.838,9.94,100,22.7,30.122,10.3,21.9,0.022,0,619550,202148,705,0,0,1,1,1.924,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.203,53.682,28.194,98.513,96.74,0.029,98.09,0.009,96.47,41.852,61.312,720.486,161.133,161.097,0,0.003,0,0.015,0,0.015,0.26,28.135,156126,31.778,709,96,166.97,632.986,378.993,87.852,50.532,200.043,34.976,53.968,199.913,14.038,96.136,200.043,98.756,22.73,129.861,76.419,73.851,94.965,6.865,254.167,1,0,1,0,49.868,33.053,37.452,26.61,6.697,9.94,100,23.163,30.122,10.3,21.9,6.337,1.729,619553,202149,705,0,0,1,1,2.008,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.031,53.979,28.194,98.62,96.998,0.029,98.163,0.009,96.47,41.806,61.115,719.039,161.458,161.241,0,0.003,0,0.015,0,0.017,0,28.135,156128,31.889,709,92.8,166.97,632.986,378.993,87.95,50.205,199.826,36.817,53.667,199.913,14.05,95.362,200.043,98.793,22.832,129.905,76.431,75.193,94.965,6.926,253.993,1,0,1,0,50.129,32.729,37.411,26.685,6.771,9.955,100,22.352,30.122,10.2,21.9,0.022,0,619556,202149,705,0,0,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.031,54.216,28.194,98.549,96.832,0.029,98.134,0.013,96.47,41.806,61.062,717.593,161.603,160.988,0,0.003,0,0.015,0,0.017,0,28.135,156130,30.667,709,94.4,166.97,632.986,378.993,87.372,50.169,199.87,36.817,54.107,199.957,14.05,96.752,200.087,98.817,22.832,130.078,75.677,74.141,94.965,6.902,253.993,1,0,1,0,49.517,31.196,35.353,26.766,7.062,9.94,100,22.627,30.035,10.2,21.9,0.022,0,619559,202150,705,0,0,1,1,1.908,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,54.275,28.194,98.468,96.74,0.029,98.119,0.009,96.47,41.759,61.104,716.146,161.82,161.133,0,0.003,0,0.017,0,0.015,0,28.135,156132,30.667,712,92.8,166.97,632.986,378.993,87.852,50.36,199.913,36.817,53.865,199.913,14.062,96.365,200,97.707,22.701,130.078,75.689,73.984,94.965,6.902,253.819,1,0,1,0,49.935,31.679,35.955,26.865,6.862,9.94,100,23.134,29.991,10.2,21.9,6.597,2.014,619561,202150,705,0,0,1,1,1.524,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,53.979,28.218,98.438,96.532,0.029,98.134,0.009,96.47,41.713,61.198,716.146,161.495,160.916,0,0.003,0,0.017,0,0.015,0,28.135,156134,30.444,712,92,166.97,632.986,378.993,87.034,50.269,199.913,36.817,53.131,199.913,14.062,93.816,199.826,100,22.847,129.948,75.689,75.193,94.922,6.889,253.819,1,0,1,0,49.171,31.268,36.418,26.728,6.851,9.94,100,22.41,30.035,10.2,21.8,0.022,0,619564,202150,705,0,0,1,1,1.768,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,54.157,28.218,98.341,96.382,0.029,98.105,0.009,96.47,41.69,61.188,716.146,161.241,160.807,0,0.003,0,0.017,0,0.017,0.231,28.135,156136,30.778,709,92,166.97,632.986,378.993,86.963,50.46,199.913,36.817,53.747,199.826,15.568,95.157,200.043,98.341,22.756,129.948,75.689,74.733,94.965,6.914,253.472,1,0,1,0,50.365,31.962,36.022,26.753,6.943,9.94,100,22.541,29.991,10.2,21.8,0.022,0,619567,202151,705,0,0,1,1,1.916,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,54.334,28.218,98.245,96.457,0.029,98.163,0.009,96.455,41.667,61.219,716.146,161.495,160.843,0,0.003,0,0.015,0,0.017,0.608,28.135,156137,31.778,709,93.6,166.97,632.986,378.993,87.527,50.033,200,36.817,53.865,199.87,15.568,96.196,199.913,100,22.675,129.861,75.689,74.443,94.965,8.19,253.472,1,0,1,0,49.971,31.515,36.82,26.678,6.996,9.94,100,23.032,30.078,10.2,21.8,0.022,0,619570,202151,705,0,0,1,1,1.876,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,54.275,28.218,98.068,95.917,0.029,98.206,0.009,96.47,41.644,61.062,714.699,161.675,160.988,0,0.003,0,0.015,0,0.015,0.145,28.135,156139,30.667,712,92.8,166.97,632.986,378.993,87.4,50.124,200.043,36.817,53.799,199.826,15.568,95.689,200.043,99.354,22.825,129.818,75.677,74.745,95.052,8.25,252.778,1,0,1,0,49.814,31.494,36.537,26.647,6.815,9.94,100,22.714,30.078,10.1,21.8,7.227,0,619573,202152,705,0,0,1,1,1.688,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,54.038,28.241,98.164,96.075,0.029,98.307,0.009,96.47,41.62,61.177,714.699,161.458,161.024,0,0.003,0,0.015,0,0.015,0.26,28.135,156141,31.778,709,95.2,166.97,632.986,378.993,87.866,50.587,199.957,36.817,53.549,199.87,15.568,96.426,200,98.317,22.763,129.818,76.814,74.552,95.095,7.266,252.431,1,0,1,0,49.898,32.41,36.645,26.859,7.064,9.94,100,22.381,29.991,10.1,21.8,0.022,0,619576,202152,705,0,0,1,1,1.604,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,53.801,28.241,98.255,96.316,0.029,98.351,0.009,96.455,41.574,61.125,713.252,161.531,160.88,0,0.003,0,0.017,0,0.017,0,28.135,156143,30.556,712,90.8,166.97,632.986,378.993,87.809,50.451,199.87,36.817,53.211,199.913,15.579,95.725,199.957,99.256,22.745,130.035,76.826,74.625,95.139,7.339,251.562,1,0,1,0,49.608,32.091,37.262,26.791,6.883,9.94,100,22.902,30.035,10.1,21.8,0.022,0,619578,202153,705,0,0,1,1,1.652,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,54.097,28.241,98.134,96.066,0.029,98.336,0.009,96.455,41.528,60.875,711.806,161.784,160.771,0,0.003,0,0.017,0,0.017,0,28.135,156145,30.444,712,94.4,166.97,632.986,378.993,86.977,50.523,199.957,36.817,53.028,199.826,15.579,96.148,200.043,98.122,22.741,130.252,76,74.866,95.226,6.051,251.91,1,0,1,0,50.408,31.633,36.825,26.834,6.869,9.94,100,23.061,29.948,10.1,21.8,6.662,1.743,619581,202153,705,0,0,1,1,1.9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,53.504,28.241,98.275,96.532,0.029,98.351,0.009,96.455,41.505,61.115,713.252,161.712,161.241,0,0.003,0,0.017,0,0.017,0,28.135,156147,9.111,712,94.4,166.97,632.986,378.993,79.632,50.669,200.043,22.951,53.63,199.913,6.487,96.643,199.913,86.524,22.781,130.165,68.743,74.31,95.095,0,252.778,1,0,1,0,50.171,31.685,35.327,26.703,6.783,9.955,100,22.295,29.991,10.1,21.8,0.022,0,619584,202154,705,0,0,0,0,1.852,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,53.682,28.241,98.245,96.449,0.029,98.235,0.009,96.455,41.458,60.948,711.806,161.277,160.88,0,0.003,0,0.015,0,0.017,0,28.135,156147,2.222,652,0,165.972,629.991,362.977,55.988,50.523,199.089,0,54.423,199.479,0,95.677,197.613,56.549,22.883,128.819,32.946,75.181,94.661,0,261.111,1,0,1,0,49.28,32.055,35.77,26.753,6.997,9.94,100,22.758,30.382,10.1,21.8,0.022,0,619587,202154,705,0,0,0,0,1.908,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,27.76,28.218,98.316,96.266,0.029,98.09,0.009,96.47,41.435,61.219,713.252,161.097,161.35,0,0.003,0,0.017,0,0.017,0.26,28.135,156147,2.222,629,0,164.974,627.995,347.96,50.757,51.223,196.528,0,54.254,199.002,0,97.876,192.665,10.841,23.113,125.825,0,74.975,94.01,0,271.181,1,0,1,0,50.299,32.94,37.169,26.722,6.909,9.94,100,23.206,31.076,10.1,21.8,0.022,0,619590,202154,705,0,0,0,0,1.892,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5.161,28.218,98.235,96.149,0.029,98.163,0.009,96.455,41.389,61.052,711.806,161.35,161.024,0,0.003,0,0.017,0,0.017,0.405,28.135,156147,2.222,618,0,164.974,622.96,339.974,50.94,50.977,193.707,0,54.232,198.568,0,98.178,187.153,0,23.28,122.96,0,74.987,93.316,0,280.729,1,0,1,0,49.444,31.998,37.283,26.635,6.935,9.94,100,23.438,31.337,10.1,21.8,0.022,0,619593,202155,705,0,0,0,0,1.972,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.017,28.241,98.296,96.698,0.029,98.148,0.009,96.455,41.366,61.083,710.359,161.712,160.88,0,0.003,0,0.015,0,0.017,0.174,28.135,156147,2.222,607,0,163.976,617.969,333.984,50.841,50.977,191.45,0,53.622,198.09,0,100.909,183.55,0,23.375,121.094,0,75.048,92.882,0,286.979,1,0,1,0,49.298,31.839,36.521,26.466,6.939,9.94,100,23.597,31.467,10.1,21.8,0.022,0,619596,202155,705,0,0,0,0,2.016,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.898,28.218,98.392,96.615,0.029,98.134,0.009,96.47,41.343,61.292,707.465,161.314,161.097,0,0.003,0,0.017,0,0.017,0.231,28.135,156147,2.222,596,0,163.976,610.981,328.993,50.926,50.914,189.497,0,54.261,197.83,0,99.375,180.946,0,23.342,119.835,0,74.455,92.578,0,291.84,1,0,1,0,48.898,32.683,37.339,26.834,6.877,9.94,100,23.683,31.727,10.1,21.8,0.022,0,619599,202156,705,0,0,0,0,1.94,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.661,28.218,98.336,96.499,0.029,98.148,0.013,96.455,41.319,61.125,708.912,161.06,161.169,0,0.003,0,0.015,0,0.015,0.405,28.135,156147,2.222,587,0,162.977,604.991,322.96,51.053,51.086,187.891,0,53.564,197.483,0,100.317,178.863,0,23.473,118.663,0,74.927,92.318,0,295.66,1,0,1,0,49.802,32.688,35.935,26.504,6.73,9.94,100,23.727,31.901,10.1,21.8,0.022,0,619602,202156,705,0,0,0,0,1.956,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.424,28.218,98.382,96.549,0.029,98.148,0.013,96.455,41.273,61.104,710.359,161.241,160.988,0,0.003,0,0.015,0,0.017,0,28.135,156147,2.222,576,0,162.977,597.96,318.967,50.771,51.513,186.719,0,54.1,197.049,0,99.568,176.953,0,23.481,117.839,0,75.108,92.101,0,298.264,1,0,1,0,49.208,33.043,34.334,26.622,6.93,9.94,100,23.77,32.031,10.1,21.8,0.022,0,619604,202157,705,0,0,0,0,1.996,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.542,28.218,98.377,96.615,0.029,98.206,0.009,96.455,41.273,61.125,707.465,161.458,161.024,0,0.003,0,0.015,0,0.015,0,28.135,156147,2.222,567,0,161.979,590.972,314.974,51.095,51.177,185.72,0,53.799,196.658,0,100.221,175.217,0,23.546,116.97,0,74.685,92.014,0,300.347,1,0,1,0,49.571,31.926,36.65,26.71,6.812,9.94,100,23.799,32.031,10.1,21.8,0.022,0,619607,202157,705,0,0,0,0,1.704,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.246,28.218,98.397,96.698,0.029,98.119,0.009,96.455,41.273,61.208,706.018,161.386,161.024,0,0.003,0,0.015,0,0.015,0,28.135,156147,2.222,561,0,161.979,582.986,309.983,50.898,51.25,184.766,0,54.129,196.354,0,101.707,173.698,0,23.543,116.319,0,75.036,91.84,0,301.736,1,0,1,0,49.656,32.096,37.144,26.597,6.961,9.94,100,23.828,32.205,10.1,21.8,0.022,0,619610,202158,705,0,0,0,0,1.464,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.364,28.218,98.392,96.74,0.029,98.134,0.009,96.455,41.25,61.24,706.018,161.675,161.06,0,0.003,0,0.015,0,0.015,0.318,28.135,156147,2.222,552,0,161.979,575.998,306.988,50.954,52.058,183.984,0,53.931,195.877,0,100.341,172.005,0,23.564,115.668,0,74.83,91.667,0,302.951,1,0,1,0,49.298,32.683,35.924,26.541,6.902,9.94,100,23.843,32.335,10.1,21.8,0.022,0,619613,202158,705,0,0,0,0,1.696,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.305,28.194,98.549,96.474,0.029,98.134,0.013,96.455,41.25,61.062,703.125,161.531,161.277,0,0.003,0,0.017,0,0.017,0.405,28.135,156147,2.222,543,0,160.981,567.969,301.997,50.968,51.659,183.203,0,54.012,195.53,0,100.946,170.79,0,23.557,115.061,0,74.903,91.667,0,303.472,1,0,1,0,49.577,31.87,36.367,26.491,6.964,9.94,100,23.828,32.422,10.1,21.8,0.022,0,619616,202158,705,0,0,0,0,1.8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.483,28.194,98.524,96.723,0.029,98.134,0.009,96.455,41.204,61.24,703.125,161.748,161.06,0,0.003,0,0.015,0,0.017,0.723,28.135,156147,2.222,534,0,160.981,559.983,298.958,51.166,51.64,182.465,0,54.026,195.182,0,99.302,169.488,0,23.656,114.497,0,74.963,91.58,0,303.993,1,0,1,0,50.032,31.628,36.67,26.622,6.757,9.94,100,23.872,32.292,10.2,21.8,0.022,0,619619,202159,705,0,0,0,0,1.596,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.094,1.424,28.194,98.478,96.748,0.029,98.163,0.009,96.455,41.181,61.115,704.572,161.422,161.06,0,0.003,0,0.015,0,0.015,0.231,28.135,156147,2.222,527,0,160.981,552.995,294.965,51.194,51.677,181.771,0,54.056,194.792,0,101.03,168.186,0,23.543,113.932,0,75.229,91.493,0,304.167,1,0,1,0,49.45,31.674,36.464,26.385,6.827,9.94,100,23.886,32.422,10.2,21.8,0.022,0,619622,202159,705,0,0,0,0,1.956,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.246,28.194,98.453,96.449,0.029,98.105,0.009,96.455,41.134,61.219,701.678,161.929,161.097,0,0.003,0,0.017,0,0.017,0.26,28.135,156147,2.222,518,0,159.983,545.964,291.97,51.011,52.095,181.207,0,53.872,194.314,0,102.408,167.057,0,23.739,113.411,0,75.483,91.406,0,304.167,1,0,1,0,49.014,32.616,36.717,26.629,7.012,9.94,100,23.886,32.465,10.2,21.8,0.022,0,619625,202160,705,0,0,0,0,1.988,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.246,28.194,98.382,96.357,0.029,98.163,0.009,96.455,41.134,61.167,703.125,161.495,161.241,0,0.003,0,0.017,0,0.017,0,28.135,156147,2.222,512,0,159.983,538.976,288.976,50.884,51.931,180.599,0,54.254,193.924,0,101.61,165.408,0,23.626,112.76,0,75.398,91.233,0,304.167,1,0,1,0,49.705,33.521,35.929,26.604,6.938,9.94,100,23.915,32.509,10.2,21.8,0.022,0,619628,202160,705,0,0,0,0,2.024,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.424,28.194,98.194,96.349,0.029,98.061,0.009,96.455,41.111,61.198,701.678,161.422,160.988,0,0.003,0,0.017,0,0.017,0,28.135,156147,2.222,503,0,159.983,531.988,285.981,51.081,51.74,180.035,0,54.034,193.576,0,103.665,164.366,0,23.634,112.326,0,74.915,91.146,0,303.819,1,0,1,0,49.395,32.369,35.971,26.554,6.816,9.94,100,23.9,32.552,10.2,21.8,0.022,0,619631,202161,705,0,0,0,0,1.456,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
